ADDRESS,ASSESSED_VALUE,PROPERTY_TYPE,VALUE_CLEAN
600 11 AV SE,"54,930,000",LO,54930000.0
614 12 AV SE,"9,050,000",LO,9050000.0
619 12 AV SE,"1,040,000",LO,1040000.0
706 10 AV SW,"4,380,000",LO,4380000.0
710 10 AV SW,"2,560,000",LO,2560000.0
710 12 AV SW,"4,170,000",LO,4170000.0
712 17 AV SW,"47,500",LO,47500.0
718 10 AV SW,"5,980,000",LO,5980000.0
830 11 AV SW,"1,870,000",LO,1870000.0
927 11 AV SW,"1,530,000",LO,1530000.0
931 11 AV SW,"1,530,000",LO,1530000.0
1002 14 AV SW,"1,650,000",LI,1650000.0
1010 14 AV SW,"1,130,000",LI,1130000.0
1015 13 AV SW,"1,000,000",LI,1000000.0
1017 13 AV SW,"865,500",LI,865500.0
1019 13 AV SW,"1,090,000",LI,1090000.0
1104 10 ST SW,"778,500",LI,778500.0
1111 7 ST SW,"1,340,000",LI,1340000.0
1215 14 AV SW,"595,000",LI,595000.0
1219 14 AV SW,"756,000",LI,756000.0
1229 13 AV SW,"1,020,000",LI,1020000.0
1310 11 ST SW,"796,000",LI,796000.0
1501 1 ST SE,"874,000",LI,874000.0
1501 MACLEOD TR SE,"880,000",LI,880000.0
1510 1 ST SE,"1,140,000",LI,1140000.0
1511 10 ST SW,"855,500",LI,855500.0
213 12 AV SW,"2,380,000",LI,2380000.0
221 17 AV SE,"1,310,000",LI,1310000.0
222 17 AV SE,"859,000",LI,859000.0
223 17 AV SE,"1,090,000",LI,1090000.0
224 15 AV SW,"1,680,000",LI,1680000.0
225 17 AV SE,"763,000",LI,763000.0
229 17 AV SE,"944,000",LI,944000.0
338 15 AV SW,"1,900,000",LI,1900000.0
514 17 AV SW,"2,790,000",LI,2790000.0
718 15 AV SW,"176,500",LI,176500.0
801 13 AV SW,"664,000",LI,664000.0
802 13 AV SW,"1,080,000",LI,1080000.0
803 15 AV SW,"3,700,000",LI,3700000.0
806 12 AV SW,"1,100,000",LI,1100000.0
814 13 AV SW,"1,770,000",LI,1770000.0
816 13 AV SW,"1,560,000",LI,1560000.0
903 15 AV SW,"1,590,000",LI,1590000.0
914 15 AV SW,"1,840,000",LI,1840000.0
934 15 AV SW,"2,890,000",LI,2890000.0
1313 CENTRE ST SW,"682,500",LI,682500.0
1403 12 ST SW,"1,330,000",LI,1330000.0
923 13 AV SW,"2,530,000",LI,2530000.0
100 1330 15 AV SW,"440,000",LI,440000.0
100 220 13 AV SW,"478,000",LI,478000.0
100 602 12 AV SW,"660,500",LI,660500.0
1010 396 11 AV SW,"406,000",LI,406000.0
102 206 11 AV SE,"412,000",LI,412000.0
1020 396 11 AV SW,"262,000",LI,262000.0
1030 396 11 AV SW,"419,500",LI,419500.0
1040 396 11 AV SW,"406,000",LI,406000.0
1050 396 11 AV SW,"423,000",LI,423000.0
110 221 10 AV SE,"2,700,000",LI,2700000.0
110 602 12 AV SW,"176,500",LI,176500.0
1110 396 11 AV SW,"505,500",LI,505500.0
1120 396 11 AV SW,"264,500",LI,264500.0
1130 396 11 AV SW,"474,000",LI,474000.0
1140 396 11 AV SW,"415,500",LI,415500.0
1150 396 11 AV SW,"272,500",LI,272500.0
1210 396 11 AV SW,"406,000",LI,406000.0
1220 396 11 AV SW,"262,000",LI,262000.0
1230 396 11 AV SW,"419,500",LI,419500.0
1240 396 11 AV SW,"426,500",LI,426500.0
1250 396 11 AV SW,"423,000",LI,423000.0
